case,head,fa_diff,fa_ci_lo,fa_ci_hi,fa_n10,fa_n01,fa_mcnemar_p,mean_rec_diff_s,mean_rec_ci_lo,mean_rec_ci_hi,p95_rec_diff_s,p95_rec_ci_lo,p95_rec_ci_hi,rec_wilcoxon_p,budget_diff_exact,gossip_pairs_diff,gossip_pairs_ci_lo,gossip_pairs_ci_hi,gossip_blocks_diff,gossip_blocks_ci_lo,gossip_blocks_ci_hi,total_bytes_est_diff,total_bytes_est_ci_lo,total_bytes_est_ci_hi
CaseA_50_50,Full,0.062,0.029,0.093,169,107,0.00022793550113779312,-10.770551278868549,-14.255985866627658,-7.327986380884265,-19.0,-37.049999999999955,-0.04874999999997385,3.610969178960053e-11,0,-0.096,-0.73,0.5260249999999996,11.565,3.647775,19.338224999999998,7116.0,2509.34375,11775.843749999998
CaseA_50_50,HeightOnly,0.028,-0.005,0.061,156,128,0.10895840841344652,-16.09845278461003,-19.61237222665341,-12.478020532793634,-41.0,-57.0,-22.0,3.708055735192928e-19,0,0.289,-0.356025,0.909,12.707,4.895975,20.865324999999995,5593.5,898.5812500000001,10177.58125
CaseB_80_20,Full,0.06,0.027,0.094,172,112,0.0004434889642678228,-13.998508541868247,-17.8357873590448,-10.148787399126345,-21.0,-37.0,-7.900000000000091,4.320189644538472e-13,0,-0.398,-1.050075,0.2340499999999993,6.219,0.6779750000000001,11.860349999999995,1119.25,-3484.05625,5589.724999999997
CaseB_80_20,HeightOnly,0.051,0.02,0.082,153,102,0.001688004332913461,-11.78767552159998,-15.245179726313085,-8.348677403751344,-16.0,-31.151249999999862,-1.0499999999999545,5.747363064239682e-13,0,0.069,-0.5660249999999999,0.6630249999999996,5.204,-0.3893249999999999,10.726399999999995,3914.0,-585.8749999999999,8404.662499999995
